dataset,method,acc,loss,brier,ece
abalone,None,0.6363636363636364,0.5978896617889404,0.2085435566234482,0.0288659992970918
abalone,var_bayes,0.6339712918660287,0.6156029105186462,0.2138192575293894,0.024983564133279
abalone,sigmoid,0.6435406698564593,0.6022274494171143,0.2098681462350149,0.0329550685484244
abalone,isotonic,0.6447368421052632,0.6918078064918518,0.2077759236254493,0.0217966899168833
abalone,beta,0.6423444976076556,0.5981475114822388,0.2087516052849193,0.0238738249428006
landsat-satellite,None,0.7614607614607615,0.5493912696838379,0.1816387043515739,0.0006588946596633
landsat-satellite,var_bayes,0.982128982128982,0.0659811720252037,0.0159074630537197,0.0254605698290885
landsat-satellite,sigmoid,0.7614607614607615,0.5493913292884827,0.1816387260582525,0.0006751606429137
landsat-satellite,isotonic,0.7614607614607615,0.5493913292884827,0.1816387260593397,0.0006751614480214
landsat-satellite,beta,0.7614607614607615,0.5493913292884827,0.1816387260581223,0.0006751605464868
mfeat-zernike,None,0.9875,0.0924983471632003,0.0266628542387086,0.0441265967488288
mfeat-zernike,var_bayes,0.985,0.073144219815731,0.0121851098237676,0.006954877507105
mfeat-zernike,sigmoid,0.9875,0.0484654530882835,0.0106966827965258,0.0083329808136697
mfeat-zernike,isotonic,0.985,0.1664966940879821,0.0133915157210683,0.0098143200576305
mfeat-zernike,beta,0.9875,0.070683017373085,0.0112656321192603,0.0084600687364247
wpbc,None,0.6410256410256411,0.5848455429077148,0.1990692008726304,0.1780926783879598
wpbc,var_bayes,0.7692307692307693,0.5416795611381531,0.1780625479440112,0.0234041672486525
wpbc,sigmoid,0.6410256410256411,0.5949097275733948,0.2066785199454472,0.1338867083639079
wpbc,isotonic,0.6410256410256411,1.7777948379516602,0.279287525061806,0.1925995961213723
wpbc,beta,0.6410256410256411,0.6142269968986511,0.2143145344464306,0.1453166401343562
yeast,None,0.6767676767676768,0.5948951244354248,0.1893336254359639,0.0495725603216023
yeast,var_bayes,0.6430976430976431,0.5698317885398865,0.1953627719806174,0.0606845856067232
yeast,sigmoid,0.6801346801346801,0.5619245171546936,0.1904117030588107,0.0517990559462449
yeast,isotonic,0.6767676767676768,0.8068123459815979,0.1953425670681837,0.0867419524325264
yeast,beta,0.6801346801346801,0.5832425951957703,0.1886004682428601,0.0396113511338606
vehicle,None,0.9705882352941176,0.1076246723532676,0.0279534026272493,0.0077301674029406
vehicle,var_bayes,0.9647058823529412,0.0917394757270813,0.0235144015690052,0.0275884106863868
vehicle,sigmoid,0.9705882352941176,0.3909330070018768,0.0294141182776332,0.0292606042513727
vehicle,isotonic,0.9705882352941176,0.3103627264499664,0.0286889285071257,0.0293540525058393
vehicle,beta,0.9647058823529412,0.3318322300910949,0.0320602100469823,0.0333020120096518
toy,None,0.8255,0.3764216303825378,0.1218321741418667,0.0039197545647621
toy,var_bayes,0.8265,0.3753125667572021,0.1215478931723614,0.0049527367062951
toy,sigmoid,0.8235,0.391936719417572,0.1241218767705482,0.0309384132348229
toy,isotonic,0.82,0.4019842445850372,0.1235899542911369,0.0302569425513502
toy,beta,0.8245,0.3775643408298492,0.1222949177032551,0.0129072470586476
mushroom,None,0.984,0.0359143353998661,0.0120363961902718,0.002684704707219
mushroom,var_bayes,0.9938461538461538,0.0331836268305778,0.0060892056436216,0.0003983728833316
mushroom,sigmoid,0.984,0.0377413555979728,0.0128580770400414,0.0076670675278788
mushroom,isotonic,0.984,0.0377413667738437,0.0128580824074213,0.0076670889393582
mushroom,beta,0.984,0.0377413630485534,0.0128580818655124,0.0076670908411578
mfeat-morphological,None,0.9,0.3250827491283417,0.0900000002367578,1.5401840209960936e-05
mfeat-morphological,var_bayes,1.0,0.0002055570075754,4.217103853676463e-07,0.0002053558826447
mfeat-morphological,sigmoid,0.9,0.3250962197780609,0.0900024414081814,0.0015625006180507
mfeat-morphological,isotonic,0.9,0.3250962197780609,0.09000244140625,0.0015625
mfeat-morphological,beta,0.9,0.3250962197780609,0.0900024414100481,0.0015625012153986
ionosphere,None,0.8732394366197183,0.3853112459182739,0.1285501414224078,0.1592311640860329
ionosphere,var_bayes,0.9014084507042254,0.3302564322948456,0.0946921814070043,0.0606881602942733
ionosphere,sigmoid,0.8873239436619719,0.3087515830993652,0.0906957796388116,0.0480020118298528
ionosphere,isotonic,0.8873239436619719,0.3345474898815155,0.0978390977464973,0.0045606957774766
ionosphere,beta,0.8873239436619719,0.3107248842716217,0.0905924456708718,0.0862476015139395
